TOPIC,CAPTION
Fittness,"""Sweat now, shine later. What's your favorite way to work out?"""
Fittness,"""Fitness is not about being better than someone else, it's about being better than you used to be."""
Fittness,"""The only bad workout is the one that didn't happen. How are you staying active today?"""
Fittness,"""A little progress each day adds up to big results. What's your fitness goal?"""
Fittness,"""Fitness is not a punishment, it's a privilege. What's your favorite way to move your body?"""
Fittness,"""Exercise is a celebration of what your body can do, not a punishment for what you ate. What's your favorite type of workout?"""
Fittness,"""No matter how slow you go, you're still lapping everyone on the couch. Keep going!"""
Fittness,"""Fitness is not just about the body, it's about the mind and soul too. How do you incorporate mindfulness into your workouts?"""
Fittness,"""The only bad workout is the one you didn't do. What's your motivation to get moving today?"""
Fittness,"""Every workout is progress, no matter how small. What's one small thing you can do today to work towards your goals?"""
Fittness,"""Fitness is a journey, not a destination. How are you enjoying the process?"""
Fittness,"""The best project you'll ever work on is yourself. What's your favorite self-care activity?"""
Fittness,"""Fitness is not just about the physical, it's about the mental strength too. How do you stay motivated and focused?"""
Fittness,"""You don't have to be great to start, but you have to start to be great. What's one fitness goal you want to achieve this year?"""
Fittness,"""Fitness is the key to a healthy and happy life. What's your favorite way to stay active?"""
Fittness,"""Fitness is not about perfection, it's about progress. How do you measure your progress?"""
Fittness,"""The only way to do great work is to love what you do. What's your favorite type of workout?"""
Fittness,"""Fitness is not a one-time thing, it's a lifestyle. What's your favorite healthy habit?"""
Fittness,"""Success is not final, failure is not fatal: It's the courage to continue that counts. How do you overcome setbacks in your fitness journey?"""
Fittness,"""Fitness is not just about looking good, it's about feeling good too. What's your favorite way to boost your mood through exercise?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is a form of self-expression. What's your personal style?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is what you buy, style is what you do with it. How do you make your outfits unique?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Style is a way to say who you are without having to speak. What's your favorite accessory?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is like eating, you shouldn't stick to the same menu. What's a fashion trend you've been wanting to try?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is about dressing according to what's fashionable. Style is more about being yourself. How do you stay true to your personal style?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Dress for the job you want, not the job you have. How do you dress for success?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is not something that exists in dresses only. Fashion is in the sky, in the street, fashion has to do with ideas, the way we live, what is happening. What's your favorite fashion quote?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is not necessarily about labels. It's not about brands. It's about something else that comes from within you. What's your fashion philosophy?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is not about what you wear, it's about how you wear it. How do you make your outfit stand out?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Style is not just about clothes, it's about confidence. How do you boost your confidence through fashion?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is about dreaming and making other people dream. What's your dream outfit?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""The best fashion advice I'd say would be just to do what makes you comfortable and what makes you feel cute, and that's how you're gonna look your best. What makes you feel cute?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is about creating your own rules. How do you break the fashion rules?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is a way of life, and style is what you make of it. How do you incorporate your personal style into your everyday life?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is an instant language. How do you express yourself through your clothes?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is not just about following trends, it's about creating them. What's a fashion trend you've started?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is about something that comes from within you. What's your favorite way to show your personality through your outfits?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is a reflection of who you are, and who you want to be. How do you use fashion to express your identity?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is not just about looking good, it's about feeling good too. What's your favorite outfit that makes you feel confident and empowered?"""
"Fashion: Post pictures of your outfits, fashion tips, and style inspiration.","""Fashion is not just about clothes, it's about creating a lifestyle. How do you live a fashion-forward life?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not just skin deep, it's about how you feel on the inside too. How do you practice self-care?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is power, and makeup is something that really enhances that. What's your favorite makeup product?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Skincare is essential for a healthy and glowing complexion. What's your skincare routine?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty begins the moment you decide to be yourself. How do you embrace your natural beauty?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not about having a perfect face, it's about having a perfect attitude. What's your beauty philosophy?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Makeup should never be used to hide yourself, it should be used to enhance your natural beauty. What's your favorite makeup look?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Healthy skin is a reflection of overall wellness. What's your favorite skincare tip?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not just about what's on the outside, it's about what's on the inside too. How do you practice self-love?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is about feeling comfortable in your own skin. What's your favorite way to boost your confidence?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Good makeup starts with good skin. How do you take care of your skin?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not about being perfect, it's about being confident. What's your favorite way to boost your confidence?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Makeup is not a mask, it's a form of art. What's your favorite makeup technique?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not just about looking good, it's about feeling good too. What's your favorite way to pamper yourself?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Skincare is an investment in yourself. How do you invest in your skin?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not just about following trends, it's about creating them. What's a beauty trend you've started?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is about being comfortable in your own skin. How do you embrace your flaws?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not just about makeup, it's about feeling confident in your own skin. What's your favorite confidence-boosting beauty tip?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is a form of self-expression. What's your signature beauty look?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is about enhancing what you have, not hiding what you don't. What's your favorite beauty hack?"""
"Beauty: Share your favorite makeup products, skincare routines, and beauty tips.","""Beauty is not just about the products you use, it's about the way you use them. What's your favorite beauty technique?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature never goes out of style. What's your favorite outdoor activity?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""The beauty of nature is that it's always changing. What's the most breathtaking natural wonder you've seen?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not a place to visit, it's home. What's your favorite place to connect with nature?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is the art of God. What's your favorite natural landscape?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""The earth laughs in flowers. What's your favorite flower?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just a place to visit, it's a way of life. How do you live a sustainable lifestyle?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""The beauty of nature is that it's always there to inspire us. What's the most inspiring natural setting you've seen?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just a source of beauty, it's a source of healing. How do you connect with nature to reduce stress?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is the best teacher. What's the most important lesson you've learned from nature?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just something to look at, it's something to experience. What's your favorite outdoor activity?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""The beauty of nature is that it's always there to remind us of the bigger picture. What's the most awe-inspiring natural setting you've seen?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not a luxury, it's a necessity. How do you make time to connect with nature?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just a pretty sight, it's a living ecosystem. What's your favorite natural habitat?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""The beauty of nature is that it's always changing, yet always constant. What's your favorite natural cycle?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just a place to escape to, it's a place to connect with. How do you connect with nature on a daily basis?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just a place to find peace, it's a place to find inspiration. What's your favorite natural wonder?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""The beauty of nature is that it's always there to remind us of our place in the world. What's your favorite natural reminder?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just a backdrop, it's a protagonist. What's your favorite natural setting?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""Nature is not just a place to observe, it's a place to engage with. What's your favorite way to engage with nature?"""
"Nature: Post pictures of beautiful landscapes, animals, and plants.","""The beauty of nature is that it's always there to remind us of the power of creation. What's your favorite natural miracle?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not what you see, but what you make others see. What's your favorite artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is a form of self-expression. What's your favorite way to express yourself?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just a hobby, it's a way of life. What's your favorite creative project?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is a way of turning life into something meaningful. What's your favorite way to find inspiration?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just a product, it's a process. What's your favorite part of the creative process?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is a journey, not a destination. What's your favorite artistic journey?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just about creating something beautiful, it's about creating something that makes a difference. What's your favorite social or political artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just about talent, it's about practice. What's your favorite way to improve your artistic skills?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just about what you make, it's about how it makes people feel. What's your favorite emotional response to your artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just about creating something new, it's about taking something old and making it new. What's your favorite way to repurpose materials for your artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is a reflection of the world around us. What's your favorite way to incorporate the world into your art?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just a way to create something beautiful, it's a way to create something meaningful. What's your favorite meaningful artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is a way of seeing the world through a different lens. What's your favorite way to shift your perspective through art?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just about what you create, it's about the process of creation itself. What's your favorite way to enjoy the process of creating art?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just a way to express yourself, it's a way to connect with others. What's your favorite way to connect with others through art?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is a way of capturing a moment in time. What's your favorite way to capture a moment in your artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just about what you know, it's about what you feel. What's your favorite way to convey emotion in your artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just a way to make something beautiful, it's a way to make something that makes people think. What's your favorite thought-provoking artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just a way to create something new, it's a way to build upon what has come before. What's your favorite way to incorporate art history into your artwork?"""
"Art: Share your artwork, creative projects, and inspiration.","""Art is not just a way to make something for yourself, it's a way to make something for others. What's your favorite way to create art that benefits others?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music is the soundtrack of our lives. What's your favorite playlist right now?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can evoke powerful emotions. What's your favorite song that always gets you in the mood?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can bring people together. What's your favorite concert experience?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music is a universal language. What's your favorite artist or band from another country?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music is a form of art that connects us all. What's your favorite music collaboration?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music has the power to heal. What's your favorite song that has helped you through a difficult time?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music is constantly evolving. What's your favorite new artist or band?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can transport us to another time and place. What's your favorite nostalgic song?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music is a form of self-expression. What's your favorite song that you relate to on a personal level?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can be a form of rebellion. What's your favorite protest song?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music is a way to show appreciation for others. What's your favorite song that celebrates friendship or love?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can make us feel empowered. What's your favorite song that inspires you to be confident?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can bring people together from different backgrounds. What's your favorite cross-genre collaboration?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can be a form of escapism. What's your favorite song that helps you relax and unwind?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can be a form of storytelling. What's your favorite song that tells a powerful story?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can be a form of resistance. What's your favorite song that speaks out against injustice?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can be a form of social commentary. What's your favorite song that critiques society or culture?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can be a form of celebration. What's your favorite song to dance to?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music can be a way to express identity. What's your favorite song that celebrates your cultural heritage?"""
"Music: Post about your favorite artists, concerts, and playlists","""Music is a form of creative expression. What's your favorite artist who pushes boundaries and challenges the status quo?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","Self-improvement is a lifelong journey. What's one small change you've made that has had a big impact?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Taking care of our mental health is just as important as taking care of our physical health. What's your favorite mindfulness practice?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Learning to love and accept ourselves is essential to personal growth. What's one thing you love about yourself?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Self-improvement requires self-awareness. What's one habit or behavior you'd like to change?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Setting goals is key to personal development. What's one goal you're currently working towards?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Meditation is a powerful tool for personal growth. What's your favorite meditation practice?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Gratitude is a powerful mindset. What's one thing you're grateful for today?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Building a support system is important for personal growth. Who is one person who inspires you to be your best self?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Self-improvement isn't about being perfect, it's about progress. What's one area where you've made progress recently?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Practicing self-compassion is essential to personal growth. What's one way you can show yourself kindness today?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Self-improvement can be challenging, but it's worth it. What's one accomplishment you're proud of?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Learning to manage stress is essential to our well-being. What's your favorite stress-management technique?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Building healthy habits takes time and effort. What's one habit you're currently working on building?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Self-reflection is key to personal growth. What's one thing you've learned about yourself recently?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Positive self-talk is important for mental health. What's one affirmation you say to yourself regularly?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Mindfulness can help us appreciate the present moment. What's one thing you're looking forward to today?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Self-improvement requires vulnerability. What's one thing you're willing to be vulnerable about?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Taking time for self-care is essential to personal growth. What's one self-care practice you enjoy?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Self-improvement isn't a one-size-fits-all approach. What's one way you customize your personal development journey?"""
"Self-improvement: Share tips on personal development, mental health, and mindfulness","""Journaling is a powerful tool for self-reflection and personal growth. What's one journal prompt you've found helpful?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""The foundation of any good relationship is communication. What's one way you've improved communication with a friend or loved one?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Friendship is about quality over quantity. Who is one friend who has had a significant impact on your life?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Being vulnerable is essential to building strong relationships. What's one time you've opened up to a friend or loved one?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Family can be complicated, but they're still important. What's one tradition or memory you have with your family?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Romantic relationships require effort and commitment. What's one thing you do to keep the spark alive?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Forgiveness is key to healing relationships. What's one time you've forgiven someone or been forgiven?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Supporting each other's dreams is important in any relationship. What's one way you've supported a friend or loved one's goals?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Boundaries are essential to healthy relationships. What's one boundary you've set with a friend or loved one?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Sometimes relationships require tough conversations. What's one conversation you've had that led to growth in a relationship?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Friendship isn't always easy, but it's worth it. What's one friendship that has stood the test of time?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Making time for each other is important in any relationship. What's one activity you enjoy doing with a friend or loved one?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Learning to listen is essential to building strong relationships. What's one time you've actively listened to a friend or loved one?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Family dynamics can be complex, but they're still important. What's one way you've improved your relationship with a family member?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Conflict is inevitable in relationships. What's one time you've resolved a conflict with a friend or loved one?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Romantic relationships require compromise. What's one time you've compromised in a relationship?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Friendship can be a source of joy and laughter. What's one time you've laughed until you cried with a friend?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Family can be a source of support during tough times. What's one time your family has been there for you?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Healthy relationships require trust. What's one way you've built trust with a friend or loved one?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Romantic relationships require vulnerability. What's one time you've been vulnerable with a partner?"""
"Relationships: Share stories and advice on friendships, romantic relationships, and family.","""Friendship can be a source of growth and learning. What's one lesson you've learned from a friend?"""
Birthday,Zoom-ing into my birthday week!
Birthday,Would it really be my birthday if I didn't take a selfie?
Birthday,Today's the day I can wear this birthday crown!
Birthday,Act my age? Maybe next year.
Birthday,"Hugs, kisses and birthday wishes."
Birthday,Live every day like it's your birthday!
Birthday,Today I'm just a whole year more incredibler.
Birthday,I wish people would stop talking about my birthday. (Kidding)
Birthday,It’s my birthday; I can wine if I want to.
Birthday,Sunshine and birthday wishes on my mind.
Birthday,Smiling into my birthday week!
Birthday,"Thank you, Mom, for giving birth to me."
Birthday,Warning: It’s my birthday today!
Birthday,Life’s too short to not celebrate every chance you get. Happy birthday to me!
Birthday,Here’s my obligatory birthday selfie!
Birthday,Calories don’t count today because it’s my birthday!
Birthday, It’s my favourite holiday…my birthday!
Birthday, Lovin’ my birthday glow.
Birthday, Let me be the first one to wish myself a happy birthday!
Birthday, Don’t tell me to act my age because I haven’t been this age before.
Wedding,Thanks for loving all of me.
Wedding,You know I love you so!
Wedding,You're the one for me.
Wedding,Thank goodness you agreed to a second date!
Wedding,My partner in crime always!
Wedding,It's a forever thing.
Wedding,Better together.
Wedding,The maple syrup to my pancakes.
Wedding,Loving you is easy.
Wedding,Two peas in a pod.
Wedding,Is there anything better than being with you?
Wedding,It wasn't love at first sight—it took a full five minutes.
Wedding,You're the cheese to my macaroni.
Wedding,Your smile makes me smile.
Wedding,By your side is where I want to be.
Wedding,P.S. I love you.
Wedding,Home is wherever I'm with you.
Wedding,You make my heart happy.
Wedding,"Couples that laugh together, last together."
Wedding,I never have to fake a smile when you're near.
College,"My university motto: If tomorrow isn't the due date, today is not the do date."
College,"They say college is where you find yourself, but I keep getting lost on the way to class, so I have to find that first."
College,Every college student knows the importance of 11:59.
College,"I thought deciding on colleges was the hardest decision I'd ever make, but now, I can't decide on what to eat for lunch."
College,I love my college café a latte.
College,"College is nice. You can wear the same shirt two days in a row if you want, because your Monday lecture people don't know about your Tuesday lecture people."
College,"Yeah, classes are challenging, but the biggest hurdle for me is remembering to do laundry before it's too late."
College,Current mood: college life.
College,"I don't always have time to study, but when I do, I still don't."
College,Messy bun and getting stuff done.
College,"The hostel life didn't choose me, but I did choose the hostel life and it's not bad."
College,This is my third coffee of the day.
College,"Today, I'm about 90% coffee and 10% dry shampoo."
College,College — where Monday could feel like a Friday.
College,I'm totally booked at the library.
College,"Calc-u later, I'm off to class."
College,Will I end the semester or will the semester end me? Stay tuned to see.”
College,College is like a fountain of knowledge – and the students are there to drink.
College,Use promo code “Netflix” to get 50% off your grades.
College,"Instead of studying, I prefer to keep scrolling my phone worrying how I’m going to pass"
Cars,"New year, New Car, New me."
Cars,The First adult milestone.
Cars,Unleashing the beast.
Cars,Cars bring me sheer joy.
Cars,This car is driving me crazy!
Cars,"Roads were made for journeys, not destinations."
Cars,Shift to success mode.
Cars,It’s not the car… it’s the driver.
Cars,I hate to brake it to you…
Cars,You can’t buy happiness but you can buy a car. And that’s pretty close.
Cars,Fuel of happiness.
Cars,Absolutely in love with our new wheels.
Cars,What kind of car does yoda drive? A toyoda
Cars,Driving the greatest car is exhausting!
Cars,The cars we drive say a lot about us.
Cars,They say you should follow your dreams… I say you should drive it.
Cars,"Long time, no Seat!"
Cars,Eyes on the road.
Cars,Keep calm and drive on.
Cars,"Cars are the reason people, you know, live or die"
Mirror Selfie,"I'm not taking a mirror selfie, I'm just showing you my new phone case."
Mirror Selfie,"Mirror, mirror on the wall, who's the fairest of them all?"
Mirror Selfie,The person in the mirror is your only competition.
Mirror Selfie,"If you're searching for the one person who can change your life, take a look in the mirror."
Mirror Selfie,"It’s just me, my selfie, and I."
Mirror Selfie,"A selfie a day, keeps insecurities away!"
Mirror Selfie,Reflecting on the most important things.
